address,dock_bikes,geometry
"Plaza del Conde de Casal nº 8,",11,"{'type': 'Point', 'coordinates': [-3.6707132, 40.4064784]}"
"Calle Santa Cruz del Marcenado nº 24,",1,"{'type': 'Point', 'coordinates': [-3.7126299, 40.4295658]}"
"Plaza de la Independencia nº 6,",3,"{'type': 'Point', 'coordinates': [-3.688398, 40.419752]}"
"548 - Eduardo Mazón 1,",19,"{'type': 'Point', 'coordinates': [-3.6154157, 40.4521484]}"
"Santa Rita 1,",5,"{'type': 'Point', 'coordinates': [-3.6682882, 40.4457928]}"
"Avenida de NIza 67,",10,"{'type': 'Point', 'coordinates': [-3.60811578, 40.4342806]}"
"Amposta s/n (esquina Arcos de Jalón),",12,"{'type': 'Point', 'coordinates': [-3.61865045, 40.42218951]}"
"Bahía de Cádiz, 2,",19,"{'type': 'Point', 'coordinates': [-3.593712, 40.461137]}"
"Cristo del Gran Poder, 27,",13,"{'type': 'Point', 'coordinates': [-3.585751, 40.472048]}"
"Calle Tomillar, 11,",14,"{'type': 'Point', 'coordinates': [-3.5844146, 40.4630993]}"
"560 - Playa de Zarauz, 16,",14,"{'type': 'Point', 'coordinates': [-3.5906847, 40.4731404]}"
"Paseo Alberto Palacios, 42,",0,"{'type': 'Point', 'coordinates': [-3.7129039644180373, 40.3449259916087]}"
"Calle de Eduardo Maristany, 7,",23,"{'type': 'Point', 'coordinates': [-3.683127, 40.353285]}"
"Calle Cifuentes, 5,",5,"{'type': 'Point', 'coordinates': [-3.6960817, 40.3486]}"
"Calle de Auñón, 16,",12,"{'type': 'Point', 'coordinates': [-3.6776146, 40.3503351]}"
"PASEO DE LOS MELANCÓLICOS 73,",15,"{'type': 'Point', 'coordinates': [-3.718569, 40.401782]}"
"Calle Albox 33,",12,"{'type': 'Point', 'coordinates': [-3.73984, 40.373972]}"
"Paseo de los Jesuitas 4,",13,"{'type': 'Point', 'coordinates': [-3.7305543, 40.4106918]}"
"Calle Sierra de Atapuerca, 19,",1,"{'type': 'Point', 'coordinates': [-3.67042488, 40.50292982]}"
"Calle Puerto de Porzuna, 34,",17,"{'type': 'Point', 'coordinates': [-3.6236297, 40.373826]}"
"Parque Eugenia de Montijo, 2,",7,"{'type': 'Point', 'coordinates': [-3.7545822, 40.3783501]}"
"Transversal Sexta, 17,",4,"{'type': 'Point', 'coordinates': [-3.6992665, 40.3325463]}"
"579 - Maria Tubau,",4,"{'type': 'Point', 'coordinates': [-3.6717035870335635, 40.51399230680476]}"
"602 - Calle del Monasterio de Sobrado, 6,",0,"{'type': 'Point', 'coordinates': [-3.70379, 40.41678]}"
"566 - Avenida de Logroño, 315,",10,"{'type': 'Point', 'coordinates': [-3.5815033, 40.4703472]}"
"565- Playa de Riazor, 66,",8,"{'type': 'Point', 'coordinates': [-3.5838869, 40.47563573]}"
"469 - Ladera de los Almendros, 6,",0,"{'type': 'Point', 'coordinates': [-3.62299, 40.40343]}"
"470 - Avenida Real, 3,",1,"{'type': 'Point', 'coordinates': [-3.6063672, 40.4021519]}"
"471 - Calle Molino Viejo frente , 14,",4,"{'type': 'Point', 'coordinates': [-3.60666, 40.396301]}"
"271 - Calle Amaltea , 1,",18,"{'type': 'Point', 'coordinates': [-3.68317, 40.394706]}"
"Calle Villablanca 7,",3,"{'type': 'Point', 'coordinates': [-3.60783265, 40.40894698]}"
"Paseo de Juan Antonio Vallejo Nájera Botas, 28,",10,"{'type': 'Point', 'coordinates': [-3.7082123, 40.4020545]}"
" Avenida de la Aurora Boreal, 19,",6,"{'type': 'Point', 'coordinates': [-3.603668, 40.399236]}"
"Calle Méndez Alvaro, 73,",8,"{'type': 'Point', 'coordinates': [-3.68134346, 40.39675755]}"
"605 - Calle Nuria 55,",0,"{'type': 'Point', 'coordinates': [-3.70379, 40.41678]}"
"Avenida Arcentales S/N,",13,"{'type': 'Point', 'coordinates': [-3.60097542, 40.43333298]}"
"calle Paseo Ginebra,",7,"{'type': 'Point', 'coordinates': [-3.6048181, 40.423893]}"
"Parador de Santa Lucía, 8,",9,"{'type': 'Point', 'coordinates': [-3.609927899999999, 40.4487037]}"
"Avd. Ciudad de Barcelona,",3,"{'type': 'Point', 'coordinates': [-3.690538, 40.407573]}"
"Avd ciudad de Barcelona ,",3,"{'type': 'Point', 'coordinates': [-3.6904748, 40.4075211]}"
